date,time,size,r_version,r_arch,r_os,package,version,country,ip_id
1/1/2015,0:58:21,1150914,3.0.2,x86_64,darwin10.8.0,plyr,1.8.1,CN,35
1/1/2015,0:59:04,512,NA,NA,NA,pom,1.1,CN,40
1/1/2015,0:59:05,514,NA,NA,NA,pomp,0.53-5,CN,40
1/1/2015,0:59:11,743743,NA,NA,NA,pomp,0.53-5,CN,40
1/1/2015,0:59:12,512,NA,NA,NA,pooh,0.2-1,CN,40
1/1/2015,0:59:13,514,NA,NA,NA,popKorn,0.3-0,CN,40
1/1/2015,0:59:16,321109,NA,NA,NA,popKorn,0.3-0,CN,40
1/1/2015,0:59:00,132860,3.0.2,x86_64,darwin10.8.0,GPArotation,2014.11-1,TW,11
1/1/2015,0:59:01,3029833,3.1.1,x86_64,darwin13.1.0,Rcpp,0.11.3,TW,11
1/1/2015,0:59:02,388531,3.0.2,x86_64,darwin10.8.0,sfsmisc,1.0-26,TW,11
1/1/2015,0:59:03,97949,3.0.2,x86_64,darwin10.8.0,numDeriv,2012.9-1,TW,11
1/1/2015,0:59:06,1550568,3.0.2,x86_64,darwin10.8.0,mirt,1.7,TW,11
1/1/2015,0:56:54,21989,3.1.1,x86_64,linux-gnu,spaa,0.2.1,NL,41
1/1/2015,0:58:38,14621,NA,NA,NA,lessR,1.8.2,FR,42
1/1/2015,0:58:53,1819780,3.1.1,x86_64,linux-gnu,mgcv,1.8-4,US,43
1/1/2015,0:58:53,33782,3.1.1,x86_64,linux-gnu,manipulate,1.0.1,US,43
1/1/2015,0:59:20,257503,3.1.1,x86_64,linux-gnu,Rbitcoin,0.9.2,KR,44
1/1/2015,0:59:00,36164,3.0.2,x86_64,darwin10.8.0,manipulate,1.0.1,KR,45
1/1/2015,0:59:15,2136636,3.0.2,x86_64,darwin10.8.0,nlme,3.1-118,CA,46
1/1/2015,0:59:57,112067,3.0.2,x86_64,darwin10.8.0,slam,0.1-32,US,10
1/1/2015,0:59:57,27198,3.1.1,x86_64,linux-gnu,RColorBrewer,1.1-2,US,10
1/1/2015,0:59:04,570107,NA,NA,NA,polywog,0.4-0,CN,9
1/1/2015,0:59:23,55165,NA,NA,NA,arm,1.0-26,FR,17
1/1/2015,0:59:23,41634,NA,NA,NA,countrycode,0.11,FR,16
1/1/2015,0:59:50,27200,3.1.1,x86_64,linux-gnu,RColorBrewer,1.1-2,TW,11
1/1/2015,0:59:51,148214,3.1.1,x86_64,linux-gnu,dichromat,2.0-0,TW,11
1/1/2015,0:59:51,126157,3.1.1,x86_64,linux-gnu,munsell,0.4.2,TW,11
1/1/2015,0:59:51,41396,3.1.1,x86_64,linux-gnu,labeling,0.3,TW,11
1/1/2015,0:59:52,101865,3.1.2,x86_64,mingw32,pixmap,0.4-11,TW,11
1/1/2015,0:59:53,549409,3.1.1,x86_64,linux-gnu,minqa,1.2.4,TW,11
1/1/2015,0:59:53,1104040,3.1.1,x86_64,linux-gnu,nloptr,1.0.4,TW,11
1/1/2015,0:59:54,2125676,3.1.1,x86_64,linux-gnu,RcppEigen,0.3.2.3.0,TW,11
1/1/2015,0:59:54,676710,3.1.1,x86_64,linux-gnu,lpSolve,5.6.10,TW,11
1/1/2015,0:59:55,2051169,3.1.1,x86_64,linux-gnu,kernlab,0.9-19,TW,11
1/1/2015,0:59:55,162571,3.1.2,x86_64,mingw32,matrixcalc,1.0-3,TW,11
1/1/2015,0:59:55,161144,3.1.1,x86_64,linux-gnu,Formula,1.1-2,TW,11
1/1/2015,0:59:56,2063044,3.1.1,x86_64,linux-gnu,latticeExtra,0.6-26,TW,11
1/1/2015,0:59:56,69768,3.1.1,x86_64,linux-gnu,acepack,1.3-3.3,TW,11
1/1/2015,0:59:56,75610,3.0.2,x86_64,mingw32,stringr,0.6.2,TW,11
1/1/2015,0:59:57,150230,3.1.1,x86_64,linux-gnu,digest,0.6.7,TW,11
1/1/2015,0:59:57,64521,3.1.2,x86_64,mingw32,gtable,0.1.2,TW,11
1/1/2015,0:59:57,152316,3.1.2,x86_64,mingw32,scales,0.2.4,TW,11
1/1/2015,0:59:57,459039,3.1.2,x86_64,mingw32,proto,0.3-10,TW,11
1/1/2015,0:59:18,513,NA,NA,NA,popRange,1.1.3,CN,40
1/1/2015,0:59:19,72705,NA,NA,NA,popRange,1.1.3,CN,40
1/1/2015,0:59:21,514,NA,NA,NA,popReconstruct,1.0-4,CN,40
1/1/2015,0:59:30,345164,NA,NA,NA,popReconstruct,1.0-4,CN,40
1/1/2015,0:59:32,514,NA,NA,NA,popbio,2.4,CN,40
1/1/2015,0:59:32,514,NA,NA,NA,popdemo,0.1-4,CN,40
1/1/2015,0:59:36,185285,NA,NA,NA,popdemo,0.1-4,CN,40
1/1/2015,0:59:39,514,NA,NA,NA,popgen,1.0-3,CN,40
1/1/2015,0:59:40,106891,NA,NA,NA,popgen,1.0-3,CN,40
1/1/2015,0:59:42,514,NA,NA,NA,popgraph,1.4,CN,40
1/1/2015,0:59:57,557877,NA,NA,NA,popgraph,1.4,CN,40
1/1/2015,0:59:59,514,NA,NA,NA,poplite,0.99.5,CN,40
1/1/2015,0:59:59,879106,3.1.2,x86_64,linux-gnu,zoo,1.7-11,CN,47
1/1/2015,0:59:24,879103,3.1.2,x86_64,linux-gnu,zoo,1.7-11,US,48
1/1/2015,0:59:26,662595,3.1.2,x86_64,mingw32,xts,0.9-7,US,48
1/1/2015,0:59:27,282957,3.1.2,x86_64,mingw32,TTR,0.22-0,US,48
1/1/2015,0:41:42,19390,3.1.2,x86_64,mingw32,downloader,0.3,BR,49
1/1/2015,0:41:17,142728,3.1.2,x86_64,mingw32,modeltools,0.2-21,AU,50
1/1/2015,0:41:22,1327360,3.1.2,x86_64,mingw32,topicmodels,0.2-1,AU,50
1/1/2015,0:42:12,39553,3.1.2,x86_64,mingw32,tkrplot,0.0-23,US,51
1/1/2015,0:41:18,512,NA,NA,NA,omd,1,CN,52
1/1/2015,0:41:18,512,NA,NA,NA,oncomodel,1,CN,52
